vehicle_id,registration_number,vehicle_type,owner_person_id,make_model,color,status,case_id,evidence_id
V00302,TN-12-G-8169,Motorcycle,P01579,Tata Nexon,White,Active,C0108,E01149
V00303,MP-40-Z-5088,Car,P01585,Kia Sonet,Black,Active,C0108,nan
V00304,HR-01-S-8122,Car,P01586,Kia Sonet,Blue,Active,C0109,nan
V00305,DL-99-D-9504,SUV,P01587,Maruti Swift,Silver,Active,C0109,E01155
V00306,DL-80-C-5782,SUV,P01590,Tata Nexon,Silver,Active,C0109,E01156
V00307,MP-55-T-2912,Truck,P01600,Maruti Swift,Black,Active,C0111,E01167
V00308,GJ-75-F-2467,Motorcycle,P01606,Maruti Swift,Black,Active,C0112,nan
V00309,MH-51-B-3469,Motorcycle,P01611,Tata Nexon,Black,Active,C0112,nan
V00310,RJ-49-F-4968,Commercial Vehicle,P01613,Tata Nexon,Red,Active,C0112,nan
V00311,MH-96-Q-7736,SUV,P01614,Bajaj Pulsar,White,Active,C0112,E01183
V00312,TN-83-E-2460,Commercial Vehicle,P01616,Hyundai i20,Grey,Inactive,C0112,nan
V00313,DL-67-P-3114,Truck,P01622,Honda City,Silver,Active,C0112,nan
V00314,MP-49-M-7568,Motorcycle,P01623,Mahindra XUV300,Red,Active,C0112,nan
V00315,KL-35-B-8624,Motorcycle,P01626,Tata Nexon,Black,Active,C0112,E01184
V00316,UP-54-A-2928,Commercial Vehicle,P01628,Mahindra XUV300,Black,Active,C0113,E01192
V00317,TN-42-H-9503,Car,P01631,Hyundai i20,Red,Active,C0113,nan
V00318,GJ-44-M-7835,Motorcycle,P01637,Tata Nexon,Black,Active,C0113,nan
V00319,GJ-98-L-7125,Van,P01638,Honda City,Blue,Active,C0113,nan
V00320,MH-48-D-9374,Van,P01641,Maruti Swift,Maroon,Active,C0114,E01196
V00321,RJ-78-Z-3964,Commercial Vehicle,P01642,Toyota Glanza,Maroon,Active,C0115,nan
V00322,HR-97-Z-2358,Motorcycle,P01656,Honda City,Grey,Active,C0116,E01219
V00323,MH-60-O-2930,Commercial Vehicle,P01661,Hyundai i20,Black,Active,C0116,nan
V00324,RJ-12-B-3406,Van,P01664,Kia Sonet,Red,Active,C0116,nan
V00325,WB-36-U-2382,Truck,P01670,Kia Sonet,Blue,Active,C0116,nan
V00326,MP-29-U-3109,Car,P01671,Tata Nexon,Silver,Inactive,C0116,nan
V00327,KL-40-E-3153,Commercial Vehicle,P01676,Mahindra XUV300,Green,Active,C0116,E01220
V00328,WB-66-P-2950,Truck,P01687,Honda City,Grey,Active,C0117,E01232
V00329,MP-71-E-9370,Car,P01689,Bajaj Pulsar,Red,Active,C0117,nan
V00330,MH-67-Q-4314,SUV,P01690,Mahindra XUV300,White,Active,C0117,E01233
V00331,MP-85-N-9202,Commercial Vehicle,P01693,Honda City,Green,Active,C0118,E01240
V00332,TN-42-C-4045,Van,P01695,Maruti Swift,Silver,Active,C0118,nan
V00333,GJ-50-X-1313,SUV,P01701,Maruti Swift,Silver,Active,C0119,E01243
V00334,MH-81-E-2891,Van,P01703,Bajaj Pulsar,Grey,Active,C0120,nan
V00335,UP-35-J-5522,Commercial Vehicle,P01706,Bajaj Pulsar,Maroon,Active,C0120,E01249
V00336,GJ-97-P-9928,Van,P01711,Mahindra XUV300,Silver,Active,C0121,nan
V00337,MH-24-B-2151,Car,P01712,Honda City,Blue,Active,C0121,E01253
V00338,MH-53-C-3347,Motorcycle,P01723,Bajaj Pulsar,Maroon,Inactive,C0123,E01266
V00339,GJ-24-S-4312,Van,P01725,Kia Sonet,Blue,Active,C0123,nan
V00340,MH-15-U-6560,SUV,P01738,Hyundai i20,Maroon,Active,C0125,E01281
V00341,GJ-94-L-1900,Truck,P01743,Honda City,Blue,Inactive,C0125,nan
V00342,UP-95-L-1515,Car,P01745,Maruti Swift,Blue,Active,C0125,nan
V00343,UP-50-W-4687,Commercial Vehicle,P01748,Tata Nexon,Maroon,Active,C0126,nan
V00344,TN-35-A-2351,Motorcycle,P01753,Kia Sonet,Black,Active,C0127,E01289
V00345,KL-62-Q-3514,Car,P01755,Toyota Glanza,Grey,Active,C0127,nan
V00346,KA-70-J-3443,Truck,P01760,Toyota Glanza,Silver,Active,C0128,E01296
V00347,MH-38-K-8198,Van,P01764,Honda City,Maroon,Active,C0129,E01300
V00348,MH-79-J-1916,Truck,P01765,Kia Sonet,Black,Inactive,C0129,nan
V00349,TN-28-I-6454,Truck,P01769,Mahindra XUV300,White,Active,C0129,nan
V00350,RJ-99-H-4005,Commercial Vehicle,P01775,Honda City,Blue,Active,C0130,nan
V00351,TN-04-X-1777,Van,P01777,Honda City,White,Active,C0130,nan
V00352,MH-53-D-5009,Motorcycle,P01779,Toyota Glanza,Red,Active,C0130,nan
V00353,TN-93-F-2324,Car,P01783,Maruti Swift,Black,Active,C0130,E01339
V00354,GJ-08-T-8549,SUV,P01788,Honda City,Red,Active,C0130,E01340
V00355,GJ-75-W-2460,SUV,P01802,Hyundai i20,White,Active,C0130,nan
V00356,DL-23-U-5345,Commercial Vehicle,P01805,Maruti Swift,Grey,Inactive,C0130,E01341
V00357,RJ-03-D-7090,Truck,P01806,Mahindra XUV300,Blue,Active,C0130,E01342
V00358,MP-34-K-6495,Van,P01809,Tata Nexon,White,Active,C0130,nan
V00359,MH-84-Q-3618,Truck,P01817,Hyundai i20,Red,Inactive,C0130,E01343
V00360,TN-45-N-2034,Commercial Vehicle,P01824,Tata Nexon,Silver,Active,C0131,nan
V00361,KA-42-H-4382,Commercial Vehicle,P01825,Mahindra XUV300,Green,Active,C0131,nan
V00362,HR-35-C-2980,Car,P01840,Mahindra XUV300,White,Active,C0132,nan
V00363,WB-40-Q-5663,Van,P01843,Tata Nexon,Green,Active,C0132,E01365
V00364,MP-77-Z-6376,Truck,P01848,Hyundai i20,Maroon,Active,C0132,nan
V00365,GJ-79-Q-5932,Car,P01849,Honda City,White,Active,C0132,nan
V00366,KA-73-A-5256,Car,P01854,Mahindra XUV300,White,Active,C0132,E01366
V00367,GJ-22-S-6345,Truck,P01859,Maruti Swift,Green,Active,C0133,nan
V00368,MH-41-M-2920,Motorcycle,P00631,Honda City,Blue,Active,C0134,E01373
V00369,UP-65-M-9591,Commercial Vehicle,P01865,Honda City,Black,Active,C0134,E01378
V00370,TN-39-T-1867,Commercial Vehicle,P01867,Mahindra XUV300,Grey,Inactive,C0134,E01379
V00371,GJ-22-T-2447,Car,P01869,Honda City,Red,Active,C0134,nan
V00372,KA-44-K-7500,Commercial Vehicle,P01883,Toyota Glanza,Green,Active,C0136,E01399
V00373,TN-65-B-4432,SUV,P01888,Toyota Glanza,Maroon,Active,C0136,nan
V00374,MH-15-L-2507,Commercial Vehicle,P01889,Toyota Glanza,White,Active,C0136,nan
V00375,KA-17-K-5729,Van,P01892,Bajaj Pulsar,Green,Active,C0136,nan
V00376,MH-09-P-5813,Commercial Vehicle,P01898,Hyundai i20,Black,Active,C0136,nan
V00377,MP-74-R-5132,Motorcycle,P01902,Bajaj Pulsar,Maroon,Active,C0136,nan
V00378,GJ-93-O-3761,Motorcycle,P01903,Maruti Swift,Silver,Active,C0136,nan
V00379,MP-79-F-8549,Truck,P01906,Mahindra XUV300,Grey,Active,C0137,nan
V00380,UP-96-Q-3883,Commercial Vehicle,P01912,Honda City,Red,Active,C0137,E01419
V00381,MH-79-U-3689,Truck,P00062,Mahindra XUV300,Grey,Active,C0138,nan
V00382,MH-12-L-5530,Van,P01929,Maruti Swift,Red,Active,C0138,E01435
V00383,MH-91-U-7200,SUV,P01931,Hyundai i20,Maroon,Active,C0138,E01436
V00384,TN-28-G-7042,Van,P01934,Bajaj Pulsar,Red,Inactive,C0138,E01437
V00385,RJ-20-B-5693,SUV,P01935,Tata Nexon,Grey,Active,C0138,E01438
V00386,DL-91-O-1304,Commercial Vehicle,P00626,Mahindra XUV300,Green,Inactive,C0139,nan
V00387,KA-87-S-7960,Truck,P01943,Toyota Glanza,Silver,Active,C0139,E01468
V00388,MH-77-P-2700,Van,P01958,Kia Sonet,Black,Active,C0139,nan
V00389,MP-90-Q-4196,Car,P01959,Toyota Glanza,Green,Active,C0139,nan
V00390,MP-46-K-7308,Car,P01967,Hyundai i20,Silver,Active,C0139,nan
V00391,MH-71-C-7257,Truck,P01974,Maruti Swift,Grey,Active,C0139,nan
V00392,MH-32-P-1475,SUV,P01975,Maruti Swift,Black,Active,C0139,E01469
V00393,MH-58-W-7789,Commercial Vehicle,P01976,Hyundai i20,Green,Active,C0139,nan
V00394,UP-95-P-7969,Motorcycle,P01977,Toyota Glanza,Maroon,Active,C0139,nan
V00395,WB-19-N-8213,Truck,P01979,Tata Nexon,Green,Active,C0139,E01470
V00396,HR-05-T-5006,Car,P01980,Bajaj Pulsar,Maroon,Active,C0139,nan
V00397,HR-48-H-3943,Van,P01981,Kia Sonet,Black,Active,C0139,nan
V00398,MP-33-C-2030,Commercial Vehicle,P01985,Kia Sonet,Silver,Active,C0140,nan
V00399,MH-87-W-8013,Van,P01986,Toyota Glanza,White,Active,C0140,nan
V00400,RJ-60-A-1620,Truck,P01993,Hyundai i20,Silver,Active,C0140,E01483
V00401,GJ-33-G-5962,Commercial Vehicle,P01994,Mahindra XUV300,Blue,Active,C0140,nan
V00402,GJ-58-S-8157,SUV,P01995,Honda City,Blue,Active,C0140,E01484
V00403,MH-54-I-3056,Motorcycle,P01999,Bajaj Pulsar,Blue,Active,C0140,E01485
V00404,WB-07-F-5628,Car,P02007,Honda City,Maroon,Active,C0141,E01498
V00405,DL-87-V-8477,Commercial Vehicle,P02010,Honda City,Red,Active,C0141,nan
V00406,KL-41-C-2776,Truck,P02012,Honda City,Red,Active,C0141,nan
V00407,MH-90-L-7988,Van,P02016,Hyundai i20,Black,Active,C0141,E01499
V00408,UP-52-O-1352,Motorcycle,P02022,Bajaj Pulsar,Green,Active,C0141,nan
V00409,MP-34-X-5629,Van,P02039,Tata Nexon,Silver,Active,C0144,nan
V00410,TN-34-F-6492,SUV,P02054,Mahindra XUV300,Red,Inactive,C0144,nan
V00411,MH-63-V-6665,SUV,P02055,Toyota Glanza,Silver,Inactive,C0144,E01527
V00412,TS-55-H-8108,SUV,P02059,Tata Nexon,Green,Active,C0145,nan
V00413,DL-91-I-7035,Commercial Vehicle,P02060,Kia Sonet,Blue,Active,C0145,E01548
V00414,DL-82-K-3361,Truck,P02063,Honda City,Black,Active,C0145,nan
V00415,KA-43-G-4335,SUV,P02066,Toyota Glanza,Red,Active,C0145,nan
V00416,GJ-51-Z-8668,Motorcycle,P02067,Kia Sonet,Red,Active,C0145,nan
V00417,TN-67-Y-7107,SUV,P02071,Toyota Glanza,Blue,Active,C0145,nan
V00418,RJ-99-B-3764,Car,P02077,Honda City,Blue,Active,C0145,nan
V00419,GJ-23-E-7965,Car,P02078,Toyota Glanza,Red,Active,C0145,E01549
V00420,KL-05-Y-8672,Truck,P02079,Tata Nexon,Silver,Active,C0145,nan
V00421,MP-43-T-2366,Truck,P02084,Toyota Glanza,Red,Active,C0145,nan
V00422,MH-95-U-4292,Van,P01049,Bajaj Pulsar,Blue,Active,C0146,E01550
V00423,TN-03-P-5081,Truck,P02099,Honda City,Black,Active,C0147,E01576
V00424,GJ-18-E-5335,Motorcycle,P02105,Hyundai i20,Red,Active,C0147,nan
V00425,TS-32-B-8267,Van,P02109,Kia Sonet,Silver,Active,C0147,nan
V00426,HR-55-K-9773,Car,P02117,Maruti Swift,Maroon,Active,C0147,nan
V00427,UP-44-K-8857,Commercial Vehicle,P02119,Tata Nexon,Maroon,Active,C0148,nan
V00428,KL-38-K-2913,Car,P02122,Honda City,Green,Active,C0149,nan
V00429,DL-80-N-6628,Car,P02123,Mahindra XUV300,Black,Inactive,C0149,nan
V00430,UP-97-H-3606,SUV,P02125,Maruti Swift,Green,Active,C0149,E01584
V00431,TN-16-W-7173,Car,P00006,Tata Nexon,Maroon,Inactive,C0150,E01585
V00432,MP-25-Q-2566,Motorcycle,P02136,Tata Nexon,Grey,Active,C0150,nan
V00433,TS-28-F-4496,Van,P02144,Maruti Swift,Silver,Inactive,C0150,nan
V00434,DL-18-O-1993,Car,P02145,Toyota Glanza,Maroon,Active,C0150,nan
V00435,TN-91-K-4570,Motorcycle,P02149,Kia Sonet,White,Active,C0150,nan
V00436,KA-45-X-2765,Car,P02150,Mahindra XUV300,Maroon,Inactive,C0150,E01611
V00437,MH-01-J-9698,SUV,P02166,Maruti Swift,White,Active,C0150,nan
V00438,MH-45-U-2044,Van,P02168,Toyota Glanza,Silver,Active,C0150,nan
V00439,KL-29-D-7787,Car,P02175,Maruti Swift,Green,Active,C0151,E01624
V00440,WB-30-A-6967,Van,P02185,Bajaj Pulsar,Red,Active,C0151,nan
V00441,TS-33-D-2473,Van,P00173,Kia Sonet,Silver,Inactive,C0153,E01628
V00442,MH-84-K-5013,Motorcycle,P02195,Maruti Swift,Red,Active,C0153,E01650
V00443,UP-26-K-8384,Commercial Vehicle,P02209,Hyundai i20,Maroon,Active,C0153,nan
V00444,DL-77-Q-5352,Motorcycle,P02219,Kia Sonet,Grey,Active,C0154,nan
V00445,HR-25-Y-9108,Motorcycle,P02220,Toyota Glanza,Red,Active,C0154,nan
V00446,GJ-77-Q-2659,Van,P02230,Bajaj Pulsar,Silver,Active,C0154,E01668
V00447,UP-70-Z-2724,Van,P02234,Kia Sonet,Red,Inactive,C0154,nan
V00448,MH-33-C-3963,Car,P02236,Kia Sonet,Red,Active,C0154,nan
V00449,MH-23-R-1450,Truck,P02238,Honda City,White,Active,C0154,E01669
V00450,TN-51-P-8240,SUV,P02240,Maruti Swift,Red,Active,C0155,E01677
V00451,TS-71-O-2036,Truck,P02241,Mahindra XUV300,White,Active,C0155,E01678
V00452,MP-65-Q-3896,Van,P02258,Maruti Swift,Red,Active,C0156,E01687
V00453,DL-69-X-9748,Commercial Vehicle,P01340,Mahindra XUV300,Green,Active,C0157,nan
V00454,MH-27-M-1442,Truck,P02261,Bajaj Pulsar,Red,Active,C0157,nan
V00455,RJ-19-G-5323,SUV,P02262,Bajaj Pulsar,Blue,Active,C0157,E01694
V00456,MH-74-D-7039,Truck,P01098,Hyundai i20,Green,Active,C0159,nan
V00457,GJ-50-R-6151,Truck,P02271,Maruti Swift,Grey,Active,C0159,E01701
V00458,TS-61-G-6304,Car,P02273,Kia Sonet,White,Active,C0159,nan
V00459,KA-78-K-6576,Truck,P02191,Bajaj Pulsar,Blue,Active,C0160,nan
V00460,MP-40-D-9728,Truck,P02276,Toyota Glanza,Maroon,Active,C0160,E01705
V00461,GJ-73-S-7667,Car,P02279,Kia Sonet,Green,Active,C0161,nan
V00462,KA-45-S-4895,Truck,P02280,Bajaj Pulsar,Black,Active,C0161,E01724
V00463,MH-28-I-8607,Car,P02286,Tata Nexon,White,Active,C0161,nan
V00464,MH-41-S-4458,Commercial Vehicle,P02293,Tata Nexon,Blue,Active,C0161,E01725
V00465,MP-65-G-3003,Car,P02309,Maruti Swift,Black,Active,C0161,nan
V00466,HR-16-E-5807,Van,P01316,Mahindra XUV300,Green,Active,C0162,nan
V00467,UP-20-K-6778,Van,P02313,Kia Sonet,Silver,Active,C0162,nan
V00468,DL-57-F-1792,Car,P02317,Honda City,Blue,Active,C0162,nan
V00469,MH-78-G-2346,Van,P02318,Mahindra XUV300,Silver,Active,C0162,nan
V00470,GJ-35-M-9389,Motorcycle,P02334,Honda City,Green,Active,C0163,E01745
V00471,GJ-39-P-6656,Motorcycle,P02340,Toyota Glanza,Silver,Active,C0163,nan
V00472,MP-51-W-3440,Motorcycle,P02346,Tata Nexon,Blue,Active,C0165,E01776
V00473,MH-71-S-7782,Truck,P02352,Hyundai i20,Maroon,Active,C0165,E01777
V00474,MP-30-O-6141,Commercial Vehicle,P02354,Kia Sonet,Green,Active,C0165,E01778
V00475,MP-17-A-2012,SUV,P02365,Hyundai i20,Maroon,Active,C0165,nan
V00476,RJ-22-Q-3886,Van,P02366,Mahindra XUV300,Maroon,Active,C0165,E01779
V00477,MH-90-A-6523,SUV,P02368,Bajaj Pulsar,Blue,Inactive,C0165,E01780
V00478,MH-73-O-2560,Van,P02370,Toyota Glanza,White,Active,C0165,nan
V00479,RJ-26-P-9184,Truck,P02379,Toyota Glanza,Grey,Active,C0165,nan
V00480,MH-98-Y-2446,Car,P02383,Toyota Glanza,Grey,Active,C0165,nan
V00481,MH-49-W-4278,Car,P02395,Hyundai i20,Blue,Active,C0166,nan
V00482,TN-40-C-8219,Van,P02402,Bajaj Pulsar,Red,Active,C0166,nan
V00483,MH-65-X-2787,Commercial Vehicle,P02403,Tata Nexon,Black,Active,C0166,nan
V00484,GJ-52-J-8781,Car,P02408,Honda City,Blue,Active,C0166,nan
V00485,MP-08-F-2282,Car,P02416,Honda City,Maroon,Active,C0168,E01802
V00486,KL-72-Y-7595,Motorcycle,P02423,Bajaj Pulsar,Grey,Active,C0170,nan
V00487,TN-91-Y-4907,Car,P02424,Tata Nexon,Red,Active,C0170,E01810
V00488,WB-69-J-2443,Van,P02427,Tata Nexon,Blue,Active,C0170,nan
V00489,HR-76-Y-3897,Truck,P02431,Tata Nexon,Black,Active,C0170,nan
V00490,DL-63-B-8983,SUV,P02434,Honda City,Green,Active,C0171,nan
V00491,RJ-58-U-5734,Motorcycle,P02435,Maruti Swift,Red,Active,C0171,E01818
V00492,UP-54-Z-2256,SUV,P02439,Kia Sonet,Green,Inactive,C0171,E01819
V00493,UP-32-D-5843,Truck,P02445,Kia Sonet,Black,Active,C0172,E01820
V00494,KL-20-G-9981,Truck,P00140,Hyundai i20,Grey,Inactive,C0173,nan
V00495,UP-08-U-4258,Truck,P02453,Hyundai i20,Silver,Active,C0174,nan
V00496,MH-03-O-8797,Truck,P02454,Toyota Glanza,Red,Active,C0174,E01838
V00497,TS-97-K-7530,Commercial Vehicle,P02456,Hyundai i20,Black,Active,C0174,E01839
V00498,GJ-90-M-1024,Commercial Vehicle,P02457,Tata Nexon,Maroon,Active,C0174,nan
V00499,RJ-34-W-5498,Truck,P02460,Mahindra XUV300,Black,Active,C0174,nan
V00500,GJ-22-L-8085,Van,P02465,Kia Sonet,Red,Active,C0174,nan
V00501,TN-84-V-7538,Van,P02468,Honda City,Red,Active,C0175,E01843
V00502,TS-65-T-4722,Commercial Vehicle,P02470,Bajaj Pulsar,Silver,Inactive,C0175,nan
V00503,MH-51-V-8062,Truck,P02472,Kia Sonet,Silver,Active,C0176,E01846
V00504,TN-58-Y-4949,SUV,P02482,Maruti Swift,Black,Active,C0177,nan
V00505,MH-33-J-2105,Commercial Vehicle,P02486,Tata Nexon,Silver,Active,C0177,nan
V00506,MP-15-V-2808,Truck,P02495,Bajaj Pulsar,Silver,Active,C0177,nan
V00507,GJ-36-E-4196,Van,P02497,Bajaj Pulsar,Blue,Active,C0177,E01885
V00508,DL-24-K-9702,Motorcycle,P02500,Toyota Glanza,Red,Active,C0177,E01886
V00509,RJ-15-V-4876,Truck,P02501,Toyota Glanza,Blue,Active,C0177,nan
V00510,UP-57-J-2344,Commercial Vehicle,P02502,Mahindra XUV300,Grey,Active,C0177,E01887
V00511,MH-93-I-2074,Car,P02504,Maruti Swift,White,Active,C0177,E01888
V00512,KA-53-K-3287,Car,P02510,Kia Sonet,White,Active,C0177,nan
V00513,TN-43-V-5576,Van,P02515,Tata Nexon,Maroon,Active,C0177,E01889
V00514,MH-19-A-8141,Car,P02518,Tata Nexon,Blue,Active,C0177,E01890
V00515,TN-83-T-1425,Van,P02519,Kia Sonet,Green,Active,C0177,nan
V00516,RJ-02-A-9963,Van,P02521,Honda City,Green,Active,C0177,E01891
V00517,DL-60-Y-6315,Commercial Vehicle,P02529,Bajaj Pulsar,White,Active,C0178,nan
V00518,GJ-61-Z-5535,Car,P02538,Bajaj Pulsar,White,Active,C0178,nan
V00519,MH-85-Q-1782,Motorcycle,P02541,Hyundai i20,White,Active,C0179,nan
V00520,MP-25-Z-6919,Commercial Vehicle,P02542,Tata Nexon,Grey,Active,C0179,nan
V00521,GJ-29-D-2475,SUV,P02548,Mahindra XUV300,Grey,Active,C0180,nan
V00522,KA-85-F-1402,Van,P02553,Toyota Glanza,Grey,Active,C0181,E01925
V00523,UP-64-G-9534,Van,P02556,Maruti Swift,Black,Active,C0181,nan
V00524,DL-32-F-9791,Commercial Vehicle,P02557,Hyundai i20,Blue,Inactive,C0181,E01926
V00525,UP-10-J-2856,Van,P02560,Honda City,White,Inactive,C0181,nan
V00526,GJ-13-G-5880,Commercial Vehicle,P02563,Tata Nexon,Green,Active,C0181,nan
V00527,UP-07-D-6154,SUV,P02567,Honda City,Maroon,Active,C0181,nan
V00528,HR-02-J-1134,Car,P01291,Maruti Swift,Silver,Active,C0183,E01928
V00529,MP-45-R-2518,Motorcycle,P02580,Tata Nexon,Black,Active,C0183,nan
V00530,WB-56-N-5593,Commercial Vehicle,P02583,Kia Sonet,White,Active,C0183,nan
V00531,UP-07-R-5484,SUV,P02586,Hyundai i20,Black,Active,C0183,nan
V00532,MP-76-E-1790,SUV,P02587,Kia Sonet,Grey,Active,C0183,nan
V00533,DL-38-W-6698,Truck,P02589,Kia Sonet,Blue,Active,C0183,E01939
V00534,GJ-98-D-1412,Commercial Vehicle,P02596,Tata Nexon,Green,Active,C0183,nan
V00535,MH-88-H-3807,Car,P02600,Maruti Swift,Blue,Active,C0185,nan
V00536,HR-06-D-9427,Commercial Vehicle,P02602,Honda City,Silver,Active,C0185,nan
V00537,MP-95-M-1280,SUV,P02606,Mahindra XUV300,Green,Active,C0185,nan
V00538,TN-33-Y-3416,SUV,P02609,Maruti Swift,Blue,Active,C0185,E01958
V00539,TS-03-Z-3344,Commercial Vehicle,P02617,Tata Nexon,Maroon,Inactive,C0185,nan
V00540,MH-25-R-4612,SUV,P02624,Tata Nexon,Grey,Active,C0185,E01959
V00541,MH-58-I-6217,SUV,P00276,Kia Sonet,Blue,Active,C0186,nan
V00542,MH-87-B-2062,SUV,P02631,Maruti Swift,Black,Active,C0187,nan
V00543,MH-66-G-6284,Commercial Vehicle,P02632,Bajaj Pulsar,Red,Active,C0187,E01969
V00544,GJ-96-L-3773,SUV,P02637,Toyota Glanza,Black,Active,C0188,E01974
V00545,HR-58-D-3674,Motorcycle,P02652,Hyundai i20,Grey,Active,C0189,nan
V00546,TS-71-N-8269,Motorcycle,P02658,Hyundai i20,Silver,Active,C0189,E01990
V00547,MP-22-B-2059,Truck,P02662,Kia Sonet,Red,Inactive,C0189,nan
V00548,MH-08-Y-8327,Car,P02663,Bajaj Pulsar,Grey,Active,C0189,nan
V00549,UP-47-K-7510,Van,P02665,Mahindra XUV300,White,Active,C0189,nan
V00550,KL-39-C-6240,SUV,P00141,Toyota Glanza,Black,Active,C0191,E01991
V00551,GJ-67-T-4837,Motorcycle,P02667,Mahindra XUV300,White,Inactive,C0191,nan
V00552,TS-96-P-3995,Motorcycle,P02315,Bajaj Pulsar,Grey,Inactive,C0192,E01997
V00553,MH-31-E-4038,Car,P02672,Bajaj Pulsar,Blue,Active,C0192,E02005
V00554,RJ-21-P-4281,SUV,P02677,Tata Nexon,Green,Active,C0192,nan
V00555,UP-85-F-1988,Car,P02682,Hyundai i20,Grey,Active,C0192,nan
V00556,MH-51-B-3170,Truck,P02689,Mahindra XUV300,Green,Active,C0192,nan
V00557,DL-78-H-2633,Van,P02693,Bajaj Pulsar,Green,Active,C0193,nan
V00558,MH-67-A-3226,Commercial Vehicle,P02704,Toyota Glanza,Blue,Active,C0193,E02025
V00559,MP-74-Z-1727,SUV,P02705,Toyota Glanza,Red,Active,C0193,nan
V00560,RJ-05-P-3035,Motorcycle,P02707,Kia Sonet,Green,Active,C0193,E02026
V00561,MH-60-F-9532,Motorcycle,P02714,Maruti Swift,White,Active,C0193,E02027
V00562,HR-35-K-4211,Truck,P02717,Kia Sonet,Red,Active,C0193,nan
V00563,HR-07-N-2407,Truck,P02576,Honda City,Maroon,Active,C0195,nan
V00564,MH-19-R-6902,Motorcycle,P02266,Tata Nexon,Red,Active,C0195,nan
V00565,KA-22-S-3046,Motorcycle,P02736,Mahindra XUV300,Grey,Active,C0196,nan
V00566,GJ-21-I-7325,Commercial Vehicle,P02737,Maruti Swift,Maroon,Active,C0196,nan
V00567,GJ-52-W-3413,SUV,P02746,Tata Nexon,Silver,Active,C0196,nan
V00568,MH-42-V-2156,Van,P02747,Honda City,Grey,Active,C0196,nan
V00569,HR-20-F-2168,Commercial Vehicle,P02750,Kia Sonet,Red,Active,C0196,E02057
V00570,MP-59-E-3801,Commercial Vehicle,P02754,Toyota Glanza,Silver,Active,C0196,nan
V00571,WB-80-S-8594,Truck,P02755,Kia Sonet,Green,Active,C0196,E02058
V00572,RJ-37-E-1807,Commercial Vehicle,P02759,Maruti Swift,Silver,Active,C0197,nan
V00573,MH-05-G-1870,SUV,P02761,Honda City,White,Active,C0197,E02068
V00574,MH-43-G-3764,Motorcycle,P02778,Hyundai i20,Red,Active,C0198,nan
V00575,MH-65-P-4458,Motorcycle,P02781,Hyundai i20,Black,Inactive,C0198,nan
V00576,TN-81-U-4340,Commercial Vehicle,P02788,Tata Nexon,Maroon,Active,C0199,E02085
V00577,MH-05-E-7236,Van,P02792,Maruti Swift,Maroon,Active,C0199,E02086
V00578,GJ-96-T-7719,Van,P02793,Toyota Glanza,Black,Active,C0199,E02087
V00579,UP-14-P-8938,Motorcycle,P02794,Toyota Glanza,White,Active,C0199,E02088
V00580,RJ-83-I-1830,Truck,P02799,Mahindra XUV300,Red,Active,C0200,nan
V00581,MH-26-O-6633,SUV,P02805,Mahindra XUV300,Grey,Active,C0201,E02107
V00582,UP-04-K-3945,Truck,P02806,Honda City,Maroon,Active,C0201,nan
V00583,TN-33-A-9870,Car,P02811,Kia Sonet,Red,Active,C0201,nan
V00584,GJ-42-D-4475,SUV,P02818,Kia Sonet,Silver,Active,C0201,nan
V00585,MH-89-H-1567,Van,P02819,Toyota Glanza,Black,Active,C0201,nan
V00586,TN-08-K-6046,SUV,P00322,Tata Nexon,Silver,Active,C0202,nan
V00587,TN-86-T-5000,Van,P00314,Bajaj Pulsar,Green,Active,C0202,nan
V00588,KA-83-M-9071,Truck,P02825,Honda City,White,Active,C0202,nan
V00589,TN-87-U-3491,Car,P02828,Hyundai i20,Maroon,Active,C0202,nan
V00590,HR-39-Q-3382,Car,P02833,Hyundai i20,Red,Active,C0202,E02122
V00591,MH-13-J-8572,Commercial Vehicle,P02835,Toyota Glanza,Green,Active,C0202,E02123
V00592,MP-56-D-5383,Motorcycle,P02839,Tata Nexon,Silver,Inactive,C0202,E02124
V00593,GJ-82-P-4478,SUV,P02842,Kia Sonet,Silver,Active,C0202,nan
V00594,WB-74-W-2613,Car,P02848,Hyundai i20,Silver,Active,C0204,nan
V00595,MH-16-I-5985,Van,P02852,Honda City,Red,Active,C0204,E02138
V00596,GJ-66-I-5154,SUV,P02853,Toyota Glanza,Blue,Active,C0204,E02139
V00597,MH-97-U-4301,Car,P02862,Kia Sonet,Silver,Active,C0204,E02140
V00598,MH-96-Y-1937,Van,P02863,Honda City,Grey,Active,C0205,nan
V00599,DL-60-E-9875,SUV,P02864,Maruti Swift,Silver,Active,C0205,nan
V00600,RJ-54-W-5697,Motorcycle,P02868,Maruti Swift,Grey,Active,C0205,nan
V00601,MP-07-U-5854,Car,P02871,Toyota Glanza,Black,Active,C0206,nan
V00602,MH-53-X-1398,Van,P02876,Tata Nexon,Grey,Active,C0207,nan
V00603,MH-31-M-7230,SUV,P02888,Toyota Glanza,Grey,Active,C0207,nan
V00604,TN-37-V-7061,Van,P02892,Maruti Swift,Grey,Active,C0208,E02165
V00605,UP-06-M-1846,Truck,P02643,Tata Nexon,Black,Active,C0209,E02166
V00606,MP-02-A-1145,Car,P02899,Honda City,Red,Active,C0209,nan
